"filename", "language", "Markdown", "JSON", "pip requirements", "Python", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-10_14-10-12/details.md", "Markdown", 52, 0, 0, 0, 0, 6, 58
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-10_14-10-12/diff-details.md", "Markdown", 30, 0, 0, 0, 0, 6, 36
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-10_14-10-12/diff.md", "Markdown", 26, 0, 0, 0, 0, 7, 33
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-10_14-10-12/results.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"/home/lars/Projects/music-downloader/.VSCodeCounter/2022-11-10_14-10-12/results.md", "Markdown", 31, 0, 0, 0, 0, 7, 38
"/home/lars/Projects/music-downloader/notes.md", "Markdown", 2, 0, 0, 0, 0, 0, 2
"/home/lars/Projects/music-downloader/requirements.txt", "pip requirements", 0, 0, 1, 0, 0, 0, 1
"/home/lars/Projects/music-downloader/src/__init__.py", "Python", 0, 0, 0, 1, 0, 1, 2
"/home/lars/Projects/music-downloader/src/__main__.py", "Python", 0, 0, 0, 82, 3, 26, 111
"/home/lars/Projects/music-downloader/src/audio/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/audio/song.py", "Python", 0, 0, 0, 3, 0, 1, 4
"/home/lars/Projects/music-downloader/src/download.py", "Python", 0, 0, 0, -1, 0, -1, -2
"/home/lars/Projects/music-downloader/src/download_links.py", "Python", 0, 0, 0, -11, 8, 0, -3
"/home/lars/Projects/music-downloader/src/lyrics/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/lyrics/genius.py", "Python", 0, 0, 0, -9, -1, -3, -13
"/home/lars/Projects/music-downloader/src/lyrics_.py", "Python", 0, 0, 0, 2, 0, 1, 3
"/home/lars/Projects/music-downloader/src/main.py", "Python", 0, 0, 0, -104, -3, -31, -138
"/home/lars/Projects/music-downloader/src/metadata/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/metadata/download.py", "Python", 0, 0, 0, -18, -1, -5, -24
"/home/lars/Projects/music-downloader/src/metadata/metadata.py", "Python", 0, 0, 0, -106, -9, -28, -143
"/home/lars/Projects/music-downloader/src/metadata/options.py", "Python", 0, 0, 0, -87, -8, -24, -119
"/home/lars/Projects/music-downloader/src/metadata/search.py", "Python", 0, 0, 0, -4, 0, -3, -7
"/home/lars/Projects/music-downloader/src/scraping/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/scraping/file_system.py", "Python", 0, 0, 0, 40, 0, 18, 58
"/home/lars/Projects/music-downloader/src/scraping/musify.py", "Python", 0, 0, 0, -3, 0, -2, -5
"/home/lars/Projects/music-downloader/src/scraping/youtube_music.py", "Python", 0, 0, 0, -1, 0, 1, 0
"/home/lars/Projects/music-downloader/src/tools/object_handeling.py", "Python", 0, 0, 0, -19, 0, -6, -25
"/home/lars/Projects/music-downloader/src/tools/phonetic_compares.py", "Python", 0, 0, 0, -22, 0, -10, -32
"/home/lars/Projects/music-downloader/src/url_to_path.py", "Python", 0, 0, 0, 8, 0, 5, 13
"/home/lars/Projects/music-downloader/src/utils/__init__.py", "Python", 0, 0, 0, 1, 1, 1, 3
"/home/lars/Projects/music-downloader/src/utils/object_handeling.py", "Python", 0, 0, 0, 19, 0, 6, 25
"/home/lars/Projects/music-downloader/src/utils/phonetic_compares.py", "Python", 0, 0, 0, 34, 0, 15, 49
"/home/lars/Projects/music-downloader/src/utils/shared.py", "Python", 0, 0, 0, 34, 0, 11, 45
"Total", "-", 141, 1, 1, -161, -10, 3, -25
