"filename", "language", "Python", "SQLite", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/src/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/database_structure.sql", "SQLite", 0, 60, 0, 7, 67
"/home/lars/Projects/music-downloader/src/music_kraken/__init__.py", "Python", 91, 0, 14, 28, 133
"/home/lars/Projects/music-downloader/src/music_kraken/__main__.py", "Python", 4, 0, 3, 3, 10
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/fetch_audio.py", "Python", 64, 0, 21, 20, 105
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/fetch_source.py", "Python", 36, 0, 28, 16, 80
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/local_files.py", "Python", 40, 0, 0, 18, 58
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/musify.py", "Python", 130, 0, 9, 37, 176
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/source.py", "Python", 11, 0, 5, 8, 24
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/youtube.py", "Python", 65, 0, 6, 22, 93
"/home/lars/Projects/music-downloader/src/music_kraken/database/database.py", "Python", 163, 0, 80, 41, 284
"/home/lars/Projects/music-downloader/src/music_kraken/database/song.py", "Python", 86, 0, 5, 34, 125
"/home/lars/Projects/music-downloader/src/music_kraken/database/temp_database.py", "Python", 11, 0, 0, 5, 16
"/home/lars/Projects/music-downloader/src/music_kraken/lyrics/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/lyrics/genius.py", "Python", 99, 0, 38, 35, 172
"/home/lars/Projects/music-downloader/src/music_kraken/lyrics/lyrics.py", "Python", 50, 0, 19, 26, 95
"/home/lars/Projects/music-downloader/src/music_kraken/metadata/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/metadata/metadata_fetch.py", "Python", 255, 0, 24, 64, 343
"/home/lars/Projects/music-downloader/src/music_kraken/metadata/metadata_search.py", "Python", 253, 0, 40, 72, 365
"/home/lars/Projects/music-downloader/src/music_kraken/tagging/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/tagging/song.py", "Python", 3, 0, 0, 1, 4
"/home/lars/Projects/music-downloader/src/music_kraken/target/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/target/set_target.py", "Python", 37, 0, 7, 18, 62
"/home/lars/Projects/music-downloader/src/music_kraken/utils/__init__.py", "Python", 1, 0, 1, 1, 3
"/home/lars/Projects/music-downloader/src/music_kraken/utils/functions.py", "Python", 3, 0, 0, 1, 4
"/home/lars/Projects/music-downloader/src/music_kraken/utils/object_handeling.py", "Python", 19, 0, 0, 6, 25
"/home/lars/Projects/music-downloader/src/music_kraken/utils/phonetic_compares.py", "Python", 34, 0, 0, 15, 49
"/home/lars/Projects/music-downloader/src/music_kraken/utils/shared.py", "Python", 39, 0, 2, 9, 50
"/home/lars/Projects/music-downloader/src/music_kraken_cli.py", "Python", 94, 0, 9, 32, 135
"/home/lars/Projects/music-downloader/src/music_kraken_gtk.py", "Python", 3, 0, 0, 2, 5
"/home/lars/Projects/music-downloader/src/try-programming-interface.py", "Python", 3, 0, 3, 3, 9
"Total", "-", 1594, 60, 314, 531, 2499
