"filename", "language", "Python", "SQLite", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/src/database_structure.sql", "SQLite", 0, -60, 0, -7, -67
"/home/lars/Projects/music-downloader/src/goof.py", "Python", 14, 0, 0, 4, 18
"/home/lars/Projects/music-downloader/src/music_kraken/__init__.py", "Python", 23, 0, 16, 20, 59
"/home/lars/Projects/music-downloader/src/music_kraken/__main__.py", "Python", -1, 0, -1, 0, -2
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/__init__.py", "Python", 10, 0, 0, 4, 14
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/fetch_audio.py", "Python", 11, 0, -9, 0, 2
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/fetch_source.py", "Python", 18, 0, -27, 1, -8
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/musify.py", "Python", 6, 0, 0, 0, 6
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/youtube.py", "Python", 6, 0, -2, 2, 6
"/home/lars/Projects/music-downloader/src/music_kraken/database/__init__.py", "Python", 15, 0, 0, 3, 18
"/home/lars/Projects/music-downloader/src/music_kraken/database/artist.py", "Python", 11, 0, 0, 5, 16
"/home/lars/Projects/music-downloader/src/music_kraken/database/database.py", "Python", 3, 0, 0, 0, 3
"/home/lars/Projects/music-downloader/src/music_kraken/database/metadata.py", "Python", 13, 0, 0, 5, 18
"/home/lars/Projects/music-downloader/src/music_kraken/database/song.py", "Python", 0, 0, 20, -1, 19
"/home/lars/Projects/music-downloader/src/music_kraken/database/source.py", "Python", 5, 0, 0, 2, 7
"/home/lars/Projects/music-downloader/src/music_kraken/database/target.py", "Python", 22, 0, 0, 9, 31
"/home/lars/Projects/music-downloader/src/music_kraken/database/temp_database.py", "Python", -1, 0, 0, 2, 1
"/home/lars/Projects/music-downloader/src/music_kraken/lyrics/genius.py", "Python", 16, 0, -22, 7, 1
"/home/lars/Projects/music-downloader/src/music_kraken/lyrics/lyrics.py", "Python", -14, 0, 6, -6, -14
"/home/lars/Projects/music-downloader/src/music_kraken/metadata/__init__.py", "Python", 6, 0, 0, 1, 7
"/home/lars/Projects/music-downloader/src/music_kraken/metadata/metadata_fetch.py", "Python", 2, 0, 0, 1, 3
"/home/lars/Projects/music-downloader/src/music_kraken/static_files/temp_database_structure.sql", "SQLite", 0, 61, 0, 7, 68
"/home/lars/Projects/music-downloader/src/music_kraken/target/__init__.py", "Python", 4, 0, 0, 1, 5
"/home/lars/Projects/music-downloader/src/music_kraken/utils/phonetic_compares.py", "Python", 5, 0, 2, 2, 9
"/home/lars/Projects/music-downloader/src/music_kraken/utils/shared.py", "Python", 20, 0, 1, 0, 21
"/home/lars/Projects/music-downloader/src/try-programming-interface.py", "Python", 11, 0, 95, 19, 125
"Total", "-", 205, 1, 79, 81, 366
