"filename", "language", "Python", "SQLite", "Database", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/src/goof.py", "Python", 30, 0, 0, -1, 7, 36
"/home/lars/Projects/music-downloader/src/music_kraken/database/new_database.py", "Python", 155, 0, 0, 20, 34, 209
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/__init__.py", "Python", -1, 0, 0, 0, -1, -2
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/database_object.py", "Python", 7, 0, 0, 2, 2, 11
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/song.py", "Python", 76, 0, 0, 9, 26, 111
"/home/lars/Projects/music-downloader/src/music_kraken/database/temp_database.py", "Python", 2, 0, 0, 0, 1, 3
"/home/lars/Projects/music-downloader/src/music_kraken/metadata/sources/__init__.py", "Python", 3, 0, 0, 0, 2, 5
"/home/lars/Projects/music-downloader/src/music_kraken/metadata/sources/musicbrainz.py", "Python", 42, 0, 0, 6, 9, 57
"/home/lars/Projects/music-downloader/src/music_kraken/static_files/new_db.sql", "SQLite", 0, 4, 0, 0, 0, 4
"/home/lars/Projects/music-downloader/src/test.db", "Database", 0, 0, 8, 0, 0, 8
"Total", "-", 314, 4, 8, 36, 80, 442
