"filename", "language", "Python", "SQLite", "Database", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/src/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/create_custom_objects.py", "Python", 58, 0, 0, 0, 6, 64
"/home/lars/Projects/music-downloader/src/donwload.py", "Python", 9, 0, 0, 0, 6, 15
"/home/lars/Projects/music-downloader/src/metal_archives.py", "Python", 30, 0, 0, 0, 12, 42
"/home/lars/Projects/music-downloader/src/music_kraken/__init__.py", "Python", 24, 0, 0, 7, 14, 45
"/home/lars/Projects/music-downloader/src/music_kraken/__main__.py", "Python", 3, 0, 0, 2, 3, 8
"/home/lars/Projects/music-downloader/src/music_kraken/database/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/database/data_models.py", "Python", 122, 0, 0, 24, 52, 198
"/home/lars/Projects/music-downloader/src/music_kraken/database/database.py", "Python", 104, 0, 0, 47, 38, 189
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/__init__.py", "Python", 0, 0, 0, 0, 3, 3
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/fetch_audio.py", "Python", 75, 0, 0, 12, 20, 107
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/fetch_source.py", "Python", 54, 0, 0, 1, 16, 71
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/metadata/__init__.py", "Python", 6, 0, 0, 0, 2, 8
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/metadata/metadata_fetch.py", "Python", 257, 0, 0, 24, 65, 346
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/metadata/metadata_search.py", "Python", 253, 0, 0, 40, 72, 365
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/metadata/sources/__init__.py", "Python", 3, 0, 0, 0, 2, 5
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/metadata/sources/musicbrainz.py", "Python", 42, 0, 0, 6, 12, 60
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/sources/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/sources/genius.py", "Python", 115, 0, 0, 16, 42, 173
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/sources/local_files.py", "Python", 40, 0, 0, 0, 18, 58
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/sources/musify.py", "Python", 136, 0, 0, 9, 37, 182
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/sources/source.py", "Python", 11, 0, 0, 5, 8, 24
"/home/lars/Projects/music-downloader/src/music_kraken/not_used_anymore/sources/youtube.py", "Python", 71, 0, 0, 4, 24, 99
"/home/lars/Projects/music-downloader/src/music_kraken/objects/__init__.py", "Python", 28, 0, 0, 0, 8, 36
"/home/lars/Projects/music-downloader/src/music_kraken/objects/album.py", "Python", 16, 0, 0, 6, 5, 27
"/home/lars/Projects/music-downloader/src/music_kraken/objects/cache.py", "Python", 37, 0, 0, 56, 18, 111
"/home/lars/Projects/music-downloader/src/music_kraken/objects/collection.py", "Python", 85, 0, 0, 30, 37, 152
"/home/lars/Projects/music-downloader/src/music_kraken/objects/formatted_text.py", "Python", 50, 0, 0, 10, 19, 79
"/home/lars/Projects/music-downloader/src/music_kraken/objects/lyrics.py", "Python", 25, 0, 0, 0, 7, 32
"/home/lars/Projects/music-downloader/src/music_kraken/objects/metadata.py", "Python", 259, 0, 0, 62, 60, 381
"/home/lars/Projects/music-downloader/src/music_kraken/objects/option.py", "Python", 23, 0, 0, 0, 11, 34
"/home/lars/Projects/music-downloader/src/music_kraken/objects/parents.py", "Python", 66, 0, 0, 31, 31, 128
"/home/lars/Projects/music-downloader/src/music_kraken/objects/song.py", "Python", 445, 0, 0, 83, 95, 623
"/home/lars/Projects/music-downloader/src/music_kraken/objects/source.py", "Python", 118, 0, 0, 17, 40, 175
"/home/lars/Projects/music-downloader/src/music_kraken/objects/target.py", "Python", 29, 0, 0, 7, 9, 45
"/home/lars/Projects/music-downloader/src/music_kraken/pages/__init__.py", "Python", 6, 0, 0, 0, 5, 11
"/home/lars/Projects/music-downloader/src/music_kraken/pages/abstract.py", "Python", 180, 0, 0, 32, 53, 265
"/home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/__init__.py", "Python", 2, 0, 0, 0, 2, 4
"/home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/page_attributes.py", "Python", 14, 0, 0, 0, 6, 20
"/home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/search.py", "Python", 98, 0, 0, 8, 42, 148
"/home/lars/Projects/music-downloader/src/music_kraken/pages/encyclopaedia_metallum.py", "Python", 441, 0, 0, 86, 111, 638
"/home/lars/Projects/music-downloader/src/music_kraken/pages/musify.py", "Python", 500, 0, 0, 248, 135, 883
"/home/lars/Projects/music-downloader/src/music_kraken/pages/youtube.py", "Python", 25, 0, 0, 16, 6, 47
"/home/lars/Projects/music-downloader/src/music_kraken/static_files/new_db.sql", "SQLite", 0, 72, 0, 0, 10, 82
"/home/lars/Projects/music-downloader/src/music_kraken/static_files/temp_database_structure.sql", "SQLite", 0, 135, 0, 0, 10, 145
"/home/lars/Projects/music-downloader/src/music_kraken/tagging/__init__.py", "Python", 8, 0, 0, 0, 2, 10
"/home/lars/Projects/music-downloader/src/music_kraken/tagging/id3.py", "Python", 51, 0, 0, 4, 20, 75
"/home/lars/Projects/music-downloader/src/music_kraken/utils/__init__.py", "Python", 1, 0, 0, 1, 1, 3
"/home/lars/Projects/music-downloader/src/music_kraken/utils/functions.py", "Python", 3, 0, 0, 0, 1, 4
"/home/lars/Projects/music-downloader/src/music_kraken/utils/object_handeling.py", "Python", 19, 0, 0, 0, 6, 25
"/home/lars/Projects/music-downloader/src/music_kraken/utils/phonetic_compares.py", "Python", 39, 0, 0, 2, 17, 58
"/home/lars/Projects/music-downloader/src/music_kraken/utils/shared.py", "Python", 62, 0, 0, 3, 10, 75
"/home/lars/Projects/music-downloader/src/music_kraken/utils/string_processing.py", "Python", 2, 0, 0, 5, 2, 9
"/home/lars/Projects/music-downloader/src/music_kraken_cli.py", "Python", 3, 0, 0, 0, 3, 6
"/home/lars/Projects/music-downloader/src/music_kraken_gtk.py", "Python", 3, 0, 0, 0, 2, 5
"/home/lars/Projects/music-downloader/src/musify_search.py", "Python", 26, 0, 0, 0, 11, 37
"/home/lars/Projects/music-downloader/src/python.py", "Python", 12, 0, 0, 43, 6, 61
"/home/lars/Projects/music-downloader/src/test.db", "Database", 0, 0, 91, 0, 1, 92
"/home/lars/Projects/music-downloader/src/test.py", "Python", 1, 0, 0, 0, 0, 1
"/home/lars/Projects/music-downloader/src/tests/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/tests/conftest.py", "Python", 3, 0, 0, 1, 2, 6
"/home/lars/Projects/music-downloader/src/tests/test_building_objects.py", "Python", 81, 0, 0, 1, 13, 95
"/home/lars/Projects/music-downloader/src/tests/test_objects.py", "Python", 173, 0, 0, 15, 51, 239
"/home/lars/Projects/music-downloader/src/try-programming-interface.py", "Python", 14, 0, 0, 98, 22, 134
"/home/lars/Projects/music-downloader/src/try.py", "Python", 1, 0, 0, 0, 3, 4
"/home/lars/Projects/music-downloader/src/try_python.py", "Python", 13, 0, 0, 20, 9, 42
"Total", "-", 4375, 207, 91, 1082, 1358, 7113
