"filename", "language", "Python", "Database", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/src/actual_donwload.py", "Python", 21, 0, 0, 12, 33
"/home/lars/Projects/music-downloader/src/donwload.py", "Python", -9, 0, 0, -6, -15
"/home/lars/Projects/music-downloader/src/music_kraken/__init__.py", "Python", 24, 0, 0, 5, 29
"/home/lars/Projects/music-downloader/src/music_kraken/__main__.py", "Python", 0, 0, -2, 0, -2
"/home/lars/Projects/music-downloader/src/music_kraken/objects/collection.py", "Python", -1, 0, 0, 0, -1
"/home/lars/Projects/music-downloader/src/music_kraken/objects/source.py", "Python", 2, 0, 0, 1, 3
"/home/lars/Projects/music-downloader/src/music_kraken/pages/abstract.py", "Python", 23, 0, 0, 8, 31
"/home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/__init__.py", "Python", 2, 0, 0, 0, 2
"/home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/download.py", "Python", 33, 0, 0, 12, 45
"/home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/page_attributes.py", "Python", 10, 0, 1, 3, 14
"/home/lars/Projects/music-downloader/src/music_kraken/pages/download_center/search.py", "Python", 38, 0, 0, 12, 50
"/home/lars/Projects/music-downloader/src/music_kraken/pages/encyclopaedia_metallum.py", "Python", 14, 0, 0, 5, 19
"/home/lars/Projects/music-downloader/src/music_kraken/pages/musify.py", "Python", 9, 0, 0, 2, 11
"/home/lars/Projects/music-downloader/src/python.py", "Python", -12, 0, -43, -6, -61
"/home/lars/Projects/music-downloader/src/test.db", "Database", 0, -91, 0, -1, -92
"/home/lars/Projects/music-downloader/src/test.py", "Python", -1, 0, 0, 0, -1
"/home/lars/Projects/music-downloader/src/tests/test_download.py", "Python", 30, 0, 1, 12, 43
"/home/lars/Projects/music-downloader/src/try-programming-interface.py", "Python", -14, 0, -98, -22, -134
"/home/lars/Projects/music-downloader/src/try.py", "Python", -1, 0, 0, -3, -4
"/home/lars/Projects/music-downloader/src/try_python.py", "Python", -13, 0, -20, -9, -42
"Total", "-", 155, -91, -161, 25, -72
