,id,album,title,artist,album_artist,tracknumber,albumsort,titlesort,isrc,date,year,musicbrainz_artistid,musicbrainz_albumid,musicbrainz_albumartistid,musicbrainz_albumstatus,total_tracks,language,musicbrainz_albumtype,compilation,releasecountry,barcode,url,src,path,file,genre
<<<<<<< HEAD
0,03634ecf-5ef1-4ec4-8c9a-89be5df6462d,Mate. Feed. Kill. Repeat.,Slipknot,['Slipknot'],Slipknot,1,2,1,,1996-10-31,1996,a466c2a2-6517-42fb-a160-1087c3bafd9f,ce4722b7-7d58-4f7d-b76d-cb4b37fb661b,a466c2a2-6517-42fb-a160-1087c3bafd9f,Official,8,eng,Album,,US,742617000027,https://musify.club/track/dl/48121/slipknot-slipknot.mp3,musify,nu metal/Slipknot/Mate. Feed. Kill. Repeat.,nu metal/Slipknot/Mate. Feed. Kill. Repeat./Slipknot.mp3,nu metal
1,c4d73bed-2164-4869-a274-db111f12f09f,Mate. Feed. Kill. Repeat.,Gently,['Slipknot'],Slipknot,2,2,2,,1996-10-31,1996,a466c2a2-6517-42fb-a160-1087c3bafd9f,ce4722b7-7d58-4f7d-b76d-cb4b37fb661b,a466c2a2-6517-42fb-a160-1087c3bafd9f,Official,8,eng,Album,,US,742617000027,https://musify.club/track/dl/11541988/slipknot-gently.mp3,musify,nu metal/Slipknot/Mate. Feed. Kill. Repeat.,nu metal/Slipknot/Mate. Feed. Kill. Repeat./Gently.mp3,nu metal
2,1be117c9-9cad-4141-82c1-e0c07a5a0d09,Mate. Feed. Kill. Repeat.,Do Nothing / Bitchslap,['Slipknot'],Slipknot,3,2,3,,1996-10-31,1996,a466c2a2-6517-42fb-a160-1087c3bafd9f,ce4722b7-7d58-4f7d-b76d-cb4b37fb661b,a466c2a2-6517-42fb-a160-1087c3bafd9f,Official,8,eng,Album,,US,742617000027,https://musify.club/track/dl/48127/slipknot-do-nothing-bitchslap.mp3,musify,nu metal/Slipknot/Mate. Feed. Kill. Repeat.,nu metal/Slipknot/Mate. Feed. Kill. Repeat./Do Nothing   Bitchslap.mp3,nu metal
3,e5eb92c4-89c1-46ba-819d-717f20753b17,Mate. Feed. Kill. Repeat.,Only One,['Slipknot'],Slipknot,4,2,4,,1996-10-31,1996,a466c2a2-6517-42fb-a160-1087c3bafd9f,ce4722b7-7d58-4f7d-b76d-cb4b37fb661b,a466c2a2-6517-42fb-a160-1087c3bafd9f,Official,8,eng,Album,,US,742617000027,https://musify.club/track/dl/10278/slipknot-only-one.mp3,musify,nu metal/Slipknot/Mate. Feed. Kill. Repeat.,nu metal/Slipknot/Mate. Feed. Kill. Repeat./Only One.mp3,nu metal
4,2a0ece26-1d36-4fd1-84be-8dc018a599d1,Mate. Feed. Kill. Repeat.,Tattered & Torn,['Slipknot'],Slipknot,5,2,5,,1996-10-31,1996,a466c2a2-6517-42fb-a160-1087c3bafd9f,ce4722b7-7d58-4f7d-b76d-cb4b37fb661b,a466c2a2-6517-42fb-a160-1087c3bafd9f,Official,8,eng,Album,,US,742617000027,https://musify.club/track/dl/10267/slipknot-tattered-and-torn.mp3,musify,nu metal/Slipknot/Mate. Feed. Kill. Repeat.,nu metal/Slipknot/Mate. Feed. Kill. Repeat./Tattered & Torn.mp3,nu metal
5,baf6624a-fc9c-4485-8beb-4aed5d8a0ea6,Mate. Feed. Kill. Repeat.,Confessions,['Slipknot'],Slipknot,6,2,6,,1996-10-31,1996,a466c2a2-6517-42fb-a160-1087c3bafd9f,ce4722b7-7d58-4f7d-b76d-cb4b37fb661b,a466c2a2-6517-42fb-a160-1087c3bafd9f,Official,8,eng,Album,,US,742617000027,https://musify.club/track/dl/48126/slipknot-confessions.mp3,musify,nu metal/Slipknot/Mate. Feed. Kill. Repeat.,nu metal/Slipknot/Mate. Feed. Kill. Repeat./Confessions.mp3,nu metal
6,42119c6c-74a6-4b73-a887-1b9e023db9a5,Mate. Feed. Kill. Repeat.,Some Feel,['Slipknot'],Slipknot,7,2,7,,1996-10-31,1996,a466c2a2-6517-42fb-a160-1087c3bafd9f,ce4722b7-7d58-4f7d-b76d-cb4b37fb661b,a466c2a2-6517-42fb-a160-1087c3bafd9f,Official,8,eng,Album,,US,742617000027,https://musify.club/track/dl/48124/slipknot-some-feel.mp3,musify,nu metal/Slipknot/Mate. Feed. Kill. Repeat.,nu metal/Slipknot/Mate. Feed. Kill. Repeat./Some Feel.mp3,nu metal
=======
0,ba953d81-663e-4acc-90d7-c86005960341,Pain Remains,"Welcome Back, O’ Sleeping Dreamer",['Lorna Shore'],Lorna Shore,1,0,1,,2022-10-14,2022,e86fc1f5-d632-44b2-8aea-38f83aadffe8,7d70eb7f-68b0-4c20-aa17-bfb414f88f4c,e86fc1f5-d632-44b2-8aea-38f83aadffe8,Official,10,eng,Album,,XW,886449882830,https://musify.club/track/dl/18712884/lorna-shore-welcome-back-o-sleeping-dreamer.mp3,musify,deathcore/Lorna Shore/Pain Remains,"deathcore/Lorna Shore/Pain Remains/Welcome Back, O’ Sleeping Dreamer.mp3",deathcore
1,7dfa4dd2-1ac7-4b17-91b4-fcdc1f859b74,Pain Remains,Sun//Eater,['Lorna Shore'],Lorna Shore,3,0,3,GBDHC2334003,2022-10-14,2022,e86fc1f5-d632-44b2-8aea-38f83aadffe8,7d70eb7f-68b0-4c20-aa17-bfb414f88f4c,e86fc1f5-d632-44b2-8aea-38f83aadffe8,Official,10,eng,Album,,XW,886449882830,https://musify.club/track/dl/18013578/lorna-shore-sun-eater.mp3,musify,deathcore/Lorna Shore/Pain Remains,deathcore/Lorna Shore/Pain Remains/Sun  Eater.mp3,deathcore
2,7e6cf7ec-c566-47c1-88e9-da7731089428,Pain Remains,Cursed to Die,['Lorna Shore'],Lorna Shore,4,0,4,,2022-10-14,2022,e86fc1f5-d632-44b2-8aea-38f83aadffe8,7d70eb7f-68b0-4c20-aa17-bfb414f88f4c,e86fc1f5-d632-44b2-8aea-38f83aadffe8,Official,10,eng,Album,,XW,886449882830,https://musify.club/track/dl/18254249/lorna-shore-cursed-to-die.mp3,musify,deathcore/Lorna Shore/Pain Remains,deathcore/Lorna Shore/Pain Remains/Cursed to Die.mp3,deathcore
3,7abf38eb-de34-44e5-9a90-1438a0c54d2d,Pain Remains,Soulless Existence,['Lorna Shore'],Lorna Shore,5,0,5,,2022-10-14,2022,e86fc1f5-d632-44b2-8aea-38f83aadffe8,7d70eb7f-68b0-4c20-aa17-bfb414f88f4c,e86fc1f5-d632-44b2-8aea-38f83aadffe8,Official,10,eng,Album,,XW,886449882830,https://musify.club/track/dl/18712888/lorna-shore-soulless-existence.mp3,musify,deathcore/Lorna Shore/Pain Remains,deathcore/Lorna Shore/Pain Remains/Soulless Existence.mp3,deathcore
4,4a1dca7c-2409-40e3-9dfa-3ae26789db18,Pain Remains,Pain Remains I: Dancing Like Flames,['Lorna Shore'],Lorna Shore,8,0,8,GBDHC2334008,2022-10-14,2022,e86fc1f5-d632-44b2-8aea-38f83aadffe8,7d70eb7f-68b0-4c20-aa17-bfb414f88f4c,e86fc1f5-d632-44b2-8aea-38f83aadffe8,Official,10,eng,Album,,XW,886449882830,https://musify.club/track/dl/18712891/lorna-shore-pain-remains-i-dancing-like-flames.mp3,musify,deathcore/Lorna Shore/Pain Remains,deathcore/Lorna Shore/Pain Remains/Pain Remains I: Dancing Like Flames.mp3,deathcore
5,af01b1dc-f14e-4d02-b91a-d059b235f452,Pain Remains,"Pain Remains II: After All I’ve Done, I’ll Disappear",['Lorna Shore'],Lorna Shore,9,0,9,GBDHC2334009,2022-10-14,2022,e86fc1f5-d632-44b2-8aea-38f83aadffe8,7d70eb7f-68b0-4c20-aa17-bfb414f88f4c,e86fc1f5-d632-44b2-8aea-38f83aadffe8,Official,10,eng,Album,,XW,886449882830,https://musify.club/track/dl/18712892/lorna-shore-pain-remains-ii-after-all-ive-done-ill-disappear.mp3,musify,deathcore/Lorna Shore/Pain Remains,"deathcore/Lorna Shore/Pain Remains/Pain Remains II: After All I’ve Done, I’ll Disappear.mp3",deathcore
6,b9ead1a7-b054-4a8a-8e36-e860ab7e8d5f,Pain Remains,Pain Remains III: In a Sea of Fire,['Lorna Shore'],Lorna Shore,10,0,10,,2022-10-14,2022,e86fc1f5-d632-44b2-8aea-38f83aadffe8,7d70eb7f-68b0-4c20-aa17-bfb414f88f4c,e86fc1f5-d632-44b2-8aea-38f83aadffe8,Official,10,eng,Album,,XW,886449882830,https://musify.club/track/dl/18712893/lorna-shore-pain-remains-iii-in-a-sea-of-fire.mp3,musify,deathcore/Lorna Shore/Pain Remains,deathcore/Lorna Shore/Pain Remains/Pain Remains III: In a Sea of Fire.mp3,deathcore
>>>>>>> e923dcdaf208a95492af3afaa9e49fbbcfb9520c
